# articles	EIF2B2/EIF2B1	TAL1/NCAPG2	CRELD1/EEF1G	ERBB2/SUPT6H	NEDD4/GRIN2A	TRIP11/PSMC5	TSC22D4/PSMA1	PAXIP1/SPATA18	BDKRB2/GRK5	HSPH1/CSNK2A2	LENG1/PNMA1	MAPKAPK2/EEF2K	ATN1/FBLN2	SVIL/MKL2	ANXA2/TP53	TALDO1/TERF1	FAF1/IKBKB	ATXN1L/ALG13	VAMP3/IKBKG	CCND1/ESR1	CXCL6/CXCR1	CLU/SYVN1	CRYBB2/CRYBA1	NUAK1/LATS1	MPHOSPH6/EIF3G	EZH2/E2F6	PLEKHA5/SH3BP5L	EDAR/TRAF3	PIK3R3/AMBP	APP/YWHAG	TSHR/CANX	PAFAH1B1/MAP1B	RTDR1/AP2M1	HIST1H3A/TAF1B	RNF111/UBE2D1	IGF1R/PIK3R3	HIST3H3/JAK2	TRAF2/TBK1	ZRANB2/EP300	ABCC5/SERPINA3	TARDBP/XRN2	POLR1D/GRB2	TBC1D7/TSC2	RASSF7/SNAP29	DNAJB6/POLR1D	UXT/RCAN1	UBE2E1/FBXO2	PCMTD2/ATP13A2	RSRC1/SRPK2	RARA/PRAME	
5	87.7429521476	65.6782589959	90.0	90.0	84.6484215012	88.3309309775	67.307675858	72.71931061	81.9721857044	100	82.7449089006	87.6740152132	90.0	90.0	90.0	90.0	90.0	100	90.0	100	100	100	90.0	100	100	100	100	47.1996698237	90.0	100	0.0	90.0	100	100	90.0	68.767357838	78.9974378633	90.0	88.5553930731	90.0	90.0	100	81.5857371888	90.0	90.0	55.6025422429	90.0	100	90.0	90.0	
10	72.9088783748	71.8557014046	83.5560623073	76.3983850605	74.2390414781	74.3651458538	67.2887316607	80.5192043589	78.6567088897	87.9987043137	83.7501705196	67.7420475176	90.0	90.0	84.4791385595	90.0	90.0	100	90.0	100	100	100	88.7849143659	90.0	90.0	90.0	100	52.836671163	90.0	90.0	52.7421363739	84.9468884803	100	90.0	90.0	63.4848053462	83.3653759394	90.0	71.4462485929	86.4614192205	79.9698820756	100	100	78.4887390732	74.8637232925	65.2066202657	82.0468514871	100	89.0345934635	85.5007087275	
15	71.5468141657	62.352689489	80.1091821662	71.906390619	68.7571518443	81.0504838307	49.1873469407	100	79.3325420313	87.0818578943	65.931629774	66.5355973945	90.0	85.827868456	83.932323392	90.0	90.0	100	86.5127956245	90.0	90.0	85.1101231105	88.7913941065	79.8022646083	90.0	89.5515515353	100	53.2100137322	90.0	90.0	43.5502921154	79.3709273167	100	90.0	78.0027312798	66.5123421338	82.4794887712	88.3366244462	67.3544252755	83.1260115001	78.7932632121	90.0	100	79.8122854371	75.5831714795	61.3385328532	77.0684656468	100	82.7994219418	85.4748758449	
20	57.4080766011	72.7855281018	80.5075824409	41.5053454528	69.0807367443	100	49.5935783371	100	78.5939611742	86.2804295473	60.0135824226	63.408011882	89.2304371428	85.0595530241	74.8155314638	82.8941808012	85.2342376291	100	87.6614390834	90.0	89.7089119574	85.4943935071	88.9476893743	80.924288391	90.0	89.6113420779	100	44.7269738712	88.383921361	83.976058463	100	76.3200928899	100	90.0	63.5193341691	58.2589340197	80.3328260903	87.575063686	70.8557994213	77.3360101543	80.5157934255	78.702574766	100	79.802331816	75.1750035369	63.8649838792	72.789521395	100	78.9595367113	85.686637325	
25	59.1643266044	77.3648390596	78.8932472905	35.2057043938	65.1467400311	100	51.5525326175	100	71.5387701778	89.6071867469	84.2026939221	62.4813062833	88.7880289376	81.0941213612	77.6455689623	85.3501822381	86.2897786819	100	82.2083327532	90.0	89.7328961711	88.7367002552	86.33126989	74.4734065349	90.0	89.0262120475	100	47.2234504488	87.475683471	81.7793970147	100	71.9401859084	100	90.0	79.6570845375	55.3056798705	79.7573713386	86.5062908244	100	76.7864251767	77.4124249935	78.3075302295	100	82.2970150174	76.7569416939	61.837216815	72.1891069372	100	79.4715702325	85.8712054984	
30	58.4215558211	76.1681193336	74.4434673599	35.8651226301	59.4800369907	100	52.8223837689	100	72.8597687109	89.2847070204	83.1146006938	62.5374733702	88.7919912174	83.9774529005	66.8244248209	84.2699092956	81.1219861468	100	82.8583655371	90.0	83.4503182468	88.7792958081	86.0739159849	72.5592047837	90.0	88.6985271192	100	57.6936381557	87.163605936	79.1047227766	100	72.3587832128	100	90.0	79.3112550401	60.5195622901	76.6431427381	71.9863495731	100	76.4379726363	72.9651051936	78.9013911456	100	80.921558277	77.6535719646	62.4586782701	63.2706820382	100	81.3969947377	86.1870591787	
35	57.4290229587	78.9271541715	71.6323546788	53.2129146063	55.492160084	100	54.3855286058	100	69.5387723497	89.3550623049	100	63.7682073266	84.4153848328	80.253281596	61.2432982293	82.0084872828	67.3348125393	100	82.0593666503	82.9762554815	81.639115292	85.8548434766	77.8019602936	68.130163563	90.0	89.0046203511	100	63.0720680961	82.5236260503	100	100	69.3203506959	100	89.657406486	80.1857433785	58.6422939086	72.8870882317	66.3583985141	100	78.4580288377	70.6186688229	77.6306899275	100	76.0936193381	71.2177376464	61.6718458908	60.1962735213	100	100	84.4564163885	
40	51.2210988708	76.8147730709	67.312084761	57.3799406059	51.6171362622	100	51.129941502	100	64.3999459784	89.3611395902	100	63.361959935	82.0611352489	100	56.1135762313	73.2128145574	67.3348125393	100	100	83.0216684743	81.7174346979	84.2047935923	77.7089549212	66.2136262521	90.0	89.1594395467	100	61.5502912703	81.1862394339	100	100	100	100	89.5572575	81.0014609116	59.8666866415	72.0543768077	100	100	76.6011594556	73.9787254797	78.6349733195	100	75.5398973472	72.8006364249	61.0484199032	56.4220262942	100	100	84.5177930917	
45	49.6921011862	76.7258533688	58.9567410125	47.8867119449	52.1636977994	100	51.3398271907	100	62.1291604986	89.2811718359	100	63.281908697	83.11826812	100	49.8164910539	68.6770814195	69.556466507	100	100	83.0216684743	81.1005375367	84.1876844947	100	64.8269254677	87.6837796921	89.1963216167	100	61.7604696929	100	100	100	100	100	100	81.0014609116	100	74.5327543896	100	100	68.4631389469	72.0604784459	82.1552595706	100	75.1124428817	78.9243641986	63.5793347017	56.8732625686	100	100	84.2490223913	
50	49.2247107248	75.5382348773	56.840668327	63.9911497305	47.8890643854	100	48.1229062248	100	63.3676414986	88.7669537619	100	45.9659094784	82.9274472338	100	46.8017190881	66.6562546892	69.200852768	100	100	83.4069839402	80.9914084197	100	100	61.241073331	87.5961492584	89.2155221202	100	58.6679157873	100	100	100	100	100	100	100	100	70.9181658415	100	100	100	73.2565801735	82.1718522833	100	73.484151291	77.0055964939	100	100	100	100	100	
55	44.5494724537	75.6071496541	58.497289757	64.2309294873	45.6133802908	100	49.5406774357	100	70.2004342217	88.8217824348	100	45.648587717	81.7923091597	100	45.9880111213	66.4151690025	72.3897632769	100	100	84.1193564541	100	100	100	100	87.6005967548	87.5806636772	100	56.6058612715	100	100	100	100	100	100	100	100	70.9638510953	100	100	100	100	100	100	100	100	100	100	100	100	100	
60	45.5391767983	74.3154947578	55.9645182984	64.2734607497	47.7816495054	100	50.0183451588	100	68.8988418085	88.6600064697	100	55.241119621	71.9123934711	100	46.6147147086	71.0555999366	70.9299420058	100	100	85.1241421364	100	100	100	100	86.2383251778	87.5118533996	100	48.4359391132	100	100	100	100	100	100	100	100	71.218454677	100	100	100	100	100	100	100	100	100	100	100	100	100	

# docs q1	
# docs q2	