# articles,GNL2/ADORA3,KLHL14/UTS2R,SSTR2/HIP1R,CPNE5/SLC25A32,IFNB1/GGT7,HNRNPM/C4orf21,PSMC6/TEAD4,FABP5/NAPG,GPR65/FMNL3,NDUFS5/LIFR,FEM1A/SNRNP70,ANAPC1/ARID5B,ULK3/GUCY1A3,MAML1/FAM219B,TRDJ4/TSPAN31,HIST1H1T/PTPRH,MYD88/OR4C10P,RPF2/OPN4,SET/CCSER2,OR5BE1P/RBM3,ZNF154/RNU4-2,ARSEP1/ITCH,CLK2P/ABCB6,PCGF1/PAFAH1B3,LRRFIP2/EPN1,RMDN3/RPL7A,GGTLC1/ABI1,L3MBTL4/ZIC5,JUP/FAM124B,ANKRD17/TNFRSF8,PTCD3/DFNA29,MEGF11/TSPYL2,MRX2/TTLL1,HDC/CREB3,CHN1/OR8B5P,ZBTB20/LAG3,WDR74/NUDT9,FAM114A2/MUC5AC,PPIH/SLC20A1,SLURP1/CCNB2,RBKS/DUSP16,GDF2/CEBPB,KDM6A/DKK2,MRPL51/CTIF,DAP3/CLDN7,ITIH4/TNFAIP8,CDH3/LIMD2,RTN1/PYCR2,MAP2K1/GLUD1P4,CTBP1-AS2/ETFDH,Average
5,66.1119512369,67.4298297908,90,100,100,100,100,90,85.9875897951,90,84.1468945119,90,90,100,90,84.970085429,100,90,100,100,100,100,90,83.4065506789,90,100,100,100,100,100,100,90,74.5011105221,87.2879059709,100,100,89.4060543402,100,80.0314961925,90,90,100,80.2069748983,100,90,54.5678357132,100,89.481704836,100,100,91.9507196783
10,72.9760841182,76.0921989059,88.2955745801,88.8343762668,100,100,100,90,78.9401691077,90,80.6477389783,87.5891589713,88.3102735854,100,77.1710156742,61.1727313543,100,90,100,100,100,100,70.1503573236,86.9527312824,83.2158314241,100,100,100,100,90,100,100,73.261464642,85.76380431,100,100,88.1311753213,100,85.9244945301,90,89.3840324866,100,70.7419824469,100,89.3064995229,70.4167748435,100,86.6553807466,100,100,90.5986770084
15,73.2255814757,70.8003201357,82.0038944837,81.5644501656,100,100,100,86.8638860842,77.122644925,78.8044525455,85.0642956807,88.3829672483,73.1793815588,100,75.8484406807,66.7418877125,100,89.6382908457,100,100,100,100,82.2499904472,82.1219698381,79.5222483335,100,100,100,100,90,100,100,65.4690285366,82.369034764,100,90,86.3094982992,100,86.2662176306,80.5827426698,77.3238117963,75.9255531563,61.8559871817,100,89.2985738809,59.041426228,100,75.9016971041,100,100,87.8695654682
20,75.6586887656,64.1267332948,60.3883683845,100,100,100,90,87.8936482743,78.0053546241,79.6437907242,74.8599395148,84.9765237833,77.7581757524,100,75.9926529116,62.7862897082,100,100,100,100,100,100,80.3418797519,73.555195259,79.098935295,100,100,100,100,90,100,100,61.2423963005,64.6456960364,100,90,85.4485182996,100,85.2960016501,86.8796592242,79.963565533,69.7149311384,59.6057111314,100,88.4800463213,64.0865234306,100,71.7631831852,100,100,86.8442481659
25,76.5287794521,61.3014798407,62.5455266448,100,100,100,90,76.9360258447,68.2616062263,79.6437907242,72.7246933097,82.6725386465,77.8855321661,100,77.2733401339,67.6745423841,100,100,100,100,100,100,82.1691007921,75.6036957073,71.820996125,100,100,100,100,90,100,100,60.8189076668,65.3042188188,100,90,84.2186835851,100,85.1136021403,84.6029242329,76.9800108718,69.1481786638,61.0883197799,100,81.62974622,74.5655541341,100,70.1514734314,100,100,86.3332653508
30,69.8319418838,100,61.8802451206,100,100,100,83.987169214,78.8826540923,66.2946292867,71.5439829787,70.6637021544,82.8051439718,78.8962616862,100,75.269604303,63.8702048922,100,100,100,100,100,100,80.7061830311,75.4598166462,75.717662686,100,100,100,100,76.5658725541,100,100,57.3318673819,63.762589485,100,66.9507708831,82.6773372311,100,85.7292018039,85.2611764336,71.7720534513,55.4527550675,59.3780315042,100,80.707805669,61.4741803665,100,68.0209884004,100,100,85.0178766436
35,68.1725711346,100,66.2495091094,100,100,100,84.3897657589,75.0527250398,67.5030661943,68.1948898472,100,81.0937808737,76.9494379405,100,74.6660811581,61.7785134293,100,100,100,100,100,100,80.5975777688,71.9179552487,72.3883668186,100,100,100,100,73.3295342152,100,100,60.7364985755,62.8017414358,100,67.0899183001,77.5913706841,100,83.9391600788,85.1412478342,71.4068561305,59.0700567113,57.5542866918,100,80.9525605153,58.3589877427,100,57.1286240798,100,100,84.8811016663
40,66.9918798492,100,62.9411834347,100,100,100,86.6797912253,75.2605657548,64.274171528,68.1948898472,100,82.431492495,68.6235760281,100,74.1240839982,62.1705455743,100,100,100,100,100,100,66.0460677852,100,100,100,100,100,100,70.4692366966,100,100,60.4210329811,66.0316134873,100,68.2398095419,76.1353143482,100,84.1328512035,84.9777767308,73.5237154016,58.6100640181,43.3007610989,100,79.8943832249,100,100,56.7712988216,100,100,86.0049221015
45,64.0070948211,100,60.7770621259,100,100,100,82.9270190371,72.9508330203,100,63.8980527123,100,80.8142856002,69.5374398668,100,73.5860195263,62.638895926,100,100,100,100,100,100,100,100,100,100,100,100,100,56.3964333634,100,100,59.264471021,61.0069834088,100,64.3209854195,70.3720560891,100,84.4542938103,84.4195034162,100,100,50.3541038353,100,76.8923477711,100,100,56.4327245345,100,100,87.9010121061
50,62.365147673,100,69.0747097938,100,100,100,83.763529393,73.4115864566,100,60.9764687501,100,80.0409934577,69.3426237226,100,100,64.3355367082,100,100,100,100,100,100,100,100,100,100,100,100,100,56.3845083918,100,100,100,60.6433020407,100,75.7896738696,68.994358593,100,100,84.1820051392,100,100,51.1462658825,100,100,100,100,100,100,100,91.2090141974
55,60.2253198014,100,70.7972409691,100,100,100,84.2935697552,72.6840530007,100,100,100,100,71.0242482438,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,76.5883084852,100,100,100,100,100,100,46.8789519976,100,100,100,100,100,100,100,95.6498338451
60,100,100,71.0267868662,100,100,100,77.1034976228,72.3279512547,100,100,100,100,67.7519894566,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.764204504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# docs q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# docs q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
